"Place","District(s)","Pop (cutoff 10k)"
"BUNGULA",65,
"BUNONGE",67,
"BUPE",10,
"BUSEKO",9,
"BUSONGE","12;67",
"BUTABILA",38,
"BUTANGALA",1,
"BUTEKO",11,
"BUTELE",63,
"BUTONDO",15,
"BUTOYA",69,
"BUTUMBO",69,
"BUTUNGWA","8;10",
"BUYONGWE",57,
"BWACHA","2;50",
"BWAFWANO",15,
"BWALE",6,
"BWALE NYAMBESHA",6,
"BWALO",19,
"BWALYA","40;43",
"BWALYA MPONDA",31,
"BWAMBA",31,
"BWAMBO",71,
"BWAMBWA",31,
"BWANA MKUBWA",16,
"BWANTU",62,
"BWATO","70;71",
"BWEBE",46,
"BWEMBYA",40,
"BWEMBYA SILWIZYA",15,
"BWEUPE CHILIMBOYI",3,
"BWEZANI",22,
"BWILO",67,
"BWINA",71,
"BWINO CHIBAMBA",6,
"CABALANDA",59,
"CAENBY",52,
"CAKAKA",24,
"CAMPANI",20,
"CARINDA",24,
"CATCHYA",32,
"CEKANI",24,
"CEMENTI CHIBUYE",6,
"CEMENTI LUANSHIKA",6,
"CHABA","5;27",
"CHABANGA",37,
"CHABANYAMA",8,
"CHABEMBWA",1,
"CHABENGE",71,
"CHABILIKILA",44,
"CHABINDWA",45,
"CHABISA",24,
"CHABOBOMA",56,
"CHABUKA",20,
"CHABWE",27,
"CHACHA",67,
"CHACHACHA",15,
"CHACHI MPIKA",6,
"CHADIZA",17,
"CHADWA",18,
"CHADWALA",17,
"CHAFIA",23,
"CHAFILWA",37,
"CHAFIWA",38,
"CHAFOMERA",19,
"CHAFUMBATA",24,
"CHAFUMBWA",20,
"CHAFUNGO",4,
"CHAFWA",40,
"CHAGAMBA",19,
"CHAGAMBO",19,
"CHAGAMUKA",21,
"CHAGONDA",17,
"CHAGUMUKA",21,
"CHAGWA",20,
"CHAI BELA",6,
"CHAILA","38;42",
"CHAIMA",21,
"CHAINDA",35,
"CHAISA",35,
"CHAIWILA","40;46",
"CHAKABA",41,
"CHAKAKA",24,
"CHAKALA",68,
"CHAKAMA",67,
"CHAKAMBA",42,
"CHAKANGA","20;48",
"CHAKANSA",6,
"CHAKESEMUKA",52,
"CHAKOBANA",29,
"CHAKOMA",38,
"CHAKUFOLA",32,
"CHAKUMANA",6,
"CHAKUNDUKA",6,
"CHAKUNKULA",35,
"CHAKUTA",24,
"CHAKWASA",24,
"CHAKWE",24,
"CHAKWENGA",32,
"CHALA","24;54",
"CHALABESA",43,
"CHALAKANO",67,
"CHALALETO",32,
"CHALAPUKA",20,
"CHALE",37,
"CHALEDZELA",33,
"CHALESI CHALWE",6,
"CHALIKOSA",42,
"CHALIMANZA",56,
"CHALIMBANA",32,
"CHALINDA",20,
"CHALIWA",21,
"CHALOCHASOWA",38,
"CHALOKWA",24,
"CHALOMBA",42,
"CHALUBINGU",13,
"CHALULA",40,
"CHALUMBA",42,
"CHALWE","18;47",
"CHALWE KATIMA",31,
"CHALWE MUSAKA",6,
"CHAMA","18;26;27",
"CHAMAKALELA",67,
"CHAMANGA",3,
"CHAMANIKA",24,
"CHAMANKONDI",13,
"CHAMATO",19,
"CHAMATWA",22,
"CHAMAZAMBI",42,
"CHAMBA","22;66;67",
"CHAMBALA","20;45",
"CHAMBANA",42,
"CHAMBATA",24,
"CHAMBERO",21,
"CHAMBESHI",43,
"CHAMBEZI",38,
"CHAMBI",48,
"CHAMBIANGUZU",71,
"CHAMBISHI",9,
"CHAMBOKA",1,
"CHAMBOLI",10,
"CHAMBULA","4;23",
"CHAMBULENI",42,
"CHAMBUNDUKA",67,
"CHAMBWA",58,
"CHAMBWE",23,
"CHAMI",67,
"CHAMINUKA",49,
"CHAMOTA",20,
"CHAMOTO","19;20",
"CHAMPA PUBLIC WORKS DEPT CAMP",3,
"CHAMUKA",1,
"CHAMUNKAMA",38,
"CHAMWE",56,
"CHAMWELA",12,
"CHAMZUKDOYO",24,
"CHANAMA",38,
"CHANAMO",53,
"CHANDA","43;45;70",
"CHANDA KATOBA",43,
"CHANDA-KASONDE",40,
"CHANDAWESENDAMA",43,
"CHANDAWEYAYA",46,
"CHANDE","40;65",
"CHANDE-MUKONGE",40,
"CHANDE-MUNKONGE",40,
"CHANDEMA",24,
"CHANDENDA",52,
"CHANDESHI",43,
"CHANDESI",43,
"CHANDUKA",68,
"CHANDWA",21,
"CHANGA","19;64",
"CHANGA MUZIZI",24,
"CHANGACHANGA","21;67;69",
"CHANGALA","1;17;42",
"CHANGATA",19,
"CHANGATO",19,
"CHANGO",38,
"CHANGWA","42;44",
"CHANGWE",23,
"CHANGWE LISAMONA",6,
"CHANIKA",53,
"CHANJE",19,
"CHANKA",47,
"CHANKALAMU",18,
"CHANKOSA",3,
"CHANONA",42,
"CHANSA","6;31;39",
"CHANSAMBA",44,
"CHANSAMILANDO",43,
"CHANSATO",3,
"CHANSULENI",12,
"CHANTAMAKA",38,
"CHANYATI",72,
"CHANYONTO",21,
"CHANYUMBU",24,
"CHANZI",21,
"CHAOLA",19,
"CHAPA",21,
"CHAPA MWENDO",6,
"CHAPALABWI",6,
"CHAPANGA",33,
"CHAPANSWA",37,
"CHAPELUKO",38,
"CHAPEMBA",38,
"CHAPEPWA",38,
"CHAPERA",24,
"CHAPINDULA",32,
"CHAPITA","17;20;32",
"CHAPOLA",68,
"CHAPONDA",22,
"CHAPORONGA",21,
"CHAPOSWA",56,
"CHAPOTO",38,
"CHAPU",1,
"CHAPUKA","17;24",
"CHAPULA","3;52",
"CHAPVONGA",64,
"CHAPWILI",52,
"CHARLES PAMBALASHI",37,
"CHASANGWE",55,
"CHASARA",20,
"CHASAYA",45,
"CHASEBA",3,
"CHASEFU",21,
"CHASELA",21,
"CHASENA",21,
"CHASINDA",70,
"CHASSA",24,
"CHASWATA",38,
"CHASYA","19;24",
"CHATAIKA",24,
"CHATIALA",16,
"CHATOBEKA",3,
"CHATUGWA",64,
"CHATULUKA",24,
"CHATUMWA",64,
"CHATUPUKA",24,
"CHATUULA",24,
"CHATUWULA",24,
"CHAULUKA CHABALA",6,
"CHAUSTA",24,
"CHAVILWA",38,
"CHAVUMA",48,
"CHAWA",38,
"CHAWALA","23;24",
"CHAWAMA",35,
"CHAWAMA LILAYI",35,
"CHAWANA",66,
"CHAWE",26,
"CHAWEMBA",1,
"CHAWERENE",17,
"CHAYANGA",49,
"CHAYIMAKANA",53,
"CHAZANGA",21,
"CHAZITA",19,
"CHEBINDA",52,
"CHECHERI",20,
"CHECHILE",4,
"CHEKA",22,
"CHEKOMPWA",17,
"CHEKORWA",13,
"CHELA","5;42",
"CHELA MBILIMA",42,
"CHELEKA",48,
"CHELEMBA",67,
"CHELO NANGWELUKA",61,
"CHELSTONE",35,
"CHELU",44,
"CHELWE",31,
"CHEMBE","4;12;22;27",
