"Place","District(s)","Pop (cutoff 10k)"
"CHINGARA",21,
"CHINGAVATA",68,
"CHINGELA",32,
"CHINGI",48,
"CHINGINELE",43,
"CHINGO",21,
"CHINGOLO",21,
"CHINGOLOLA",71,
"CHINGOMA",21,
"CHINGONDE",19,
"CHINGONGOLINGO",19,
"CHINGULO",14,
"CHINGUMBE","49;67",
"CHINGWALI",68,
"CHINGWENGWE",21,
"CHINIALA",19,
"CHININASA",21,
"CHININUKU",21,
"CHINJAMBA","49;67",
"CHINJANGA",54,
"CHINJENGE",66,
"CHINJILA",62,
"CHINJILI",24,
"CHINKA",12,
"CHINKALAMU",21,
"CHINKALANGA",37,
"CHINKATASHA",3,
"CHINKHANGO",24,
"CHINKOHOMO",24,
"CHINKOKO",24,
"CHINKOKOTO",3,
"CHINKOMO",24,
"CHINKOWA",40,
"CHINKOYO",6,
"CHINKUKU",21,
"CHINKULI",57,
"CHINKULU",6,
"CHINKUMBA","24;37",
"CHINKUMBE","1;65;67;70",
"CHINKUMBI-MUKANGWA",1,
"CHINKUNI",24,
"CHINKWAMBA",21,
"CHINKWAZARA",19,
"CHINKWENDA",19,
"CHINOFU",37,
"CHINOKOTWE",18,
"CHINOMBA",21,
"CHINONGE",54,
"CHINOYA",54,
"CHINSAMBA","24;30",
"CHINSAMBWE",47,
"CHINSANGU",21,
"CHINSATU",20,
"CHINSENE",20,
"CHINSENSELA",41,
"CHINSIMBA",19,
"CHINSUNGWE",3,
"CHINTANKWA","6;37",
"CHINTELELE",52,
"CHINTHENGU",24,
"CHINTHU",19,
"CHINTIMBA",7,
"CHINTONA",19,
"CHINTUNZI",22,
"CHINUMA",52,
"CHINUMBWA",62,
"CHINUNDA","21;22",
"CHINUNDE",19,
"CHINUNGA",66,
"CHINUNGI",37,
"CHINUNGU",64,
"CHINUNKA","21;24",
"CHINYAKO",19,
"CHINYAKU",19,
"CHINYAMA","48;54;68",
"CHINYAMA IMASIKU",49,
"CHINYAMA LITAPI",48,
"CHINYAMBA",21,
"CHINYAMUKA",1,
"CHINYANA",33,
"CHINYANGWA",54,
"CHINYANSHI",38,
"CHINYANTA",6,
"CHINYAWA",68,
"CHINYEKA",67,
"CHINYEMBA",68,
"CHINYENGE",69,
"CHINYENGELE",45,
"CHINYENO",6,
"CHINYETA",49,
"CHINYIMBA","24;40",
"CHINYINGI",54,
"CHINYINGI MISSION",48,
"CHINYOMBE",38,
"CHINYONDO",18,
"CHINZETE",32,
"CHINZEWE",22,
"CHINZULE",20,
"CHIOGOMA",32,
"CHIOMBO","53;71",
"CHIONA",21,
"CHIONGO","49;72",
"CHIOTA","32;64",
"CHIOZA",66,
"CHIPAKATA",1,
"CHIPAKO","22;57",
"CHIPALA",66,
"CHIPALABANTU",3,
"CHIPALASHI",6,
"CHIPALE",42,
"CHIPALI",1,
"CHIPALO","41;42",
"CHIPAMBA",18,
"CHIPANAMA","3;32",
"CHIPANDA",21,
"CHIPANDAKANO",49,
"CHIPANDE","1;40",
"CHIPANDWE",21,
"CHIPANGA","1;4;38",
"CHIPANGU",18,
"CHIPANGULA",64,
"CHIPANTA","25;42;45",
"CHIPANTANGELI",65,
"CHIPANZAWE",24,
"CHIPAPA",39,
"CHIPAPAILA",20,
"CHIPAPIKA",20,
"CHIPAPILO",24,
"CHIPARAMBA",19,
"CHIPASAMUKA",45,
"CHIPASANSE",45,
"CHIPASE",38,
"CHIPASU",5,
"CHIPASULA",21,
"CHIPATA MUKAI",38,
"CHIPATALA",20,
"CHIPATELA",66,
"CHIPAYA",52,
"CHIPAZU",22,
"CHIPEBETE",32,
"CHIPELE",38,
"CHIPELEMBE","43;67",
"CHIPEMBA",61,
"CHIPEMBELE",53,
"CHIPEMBERE","13;24",
"CHIPEMBI",1,
"CHIPEMBWA",38,
"CHIPEPEYA",38,
"CHIPEPO",1,
"CHIPEREMBE",21,
"CHIPETE",47,
"CHIPETENI",13,
"CHIPETUKA",21,
"CHIPEUKENI",23,
"CHIPEZEYAMI",17,
"CHIPI CHIPOSA",6,
"CHIPIEI",21,
"CHIPIERELO",21,
"CHIPILI","17;29",
"CHIPILI MISSION",29,
"CHIPILICHANKULIMWE",4,
"CHIPILIPILI",44,
"CHIPILUNGA",21,
"CHIPIMO",45,
"CHIPINDANI",32,
"CHIPINDO",24,
"CHIPIPEYA",38,
"CHIPIRIPIRI",44,
"CHIPITO","1;3",
"CHIPIYA",42,
"CHIPOKOSA",19,
"CHIPOKOSO",47,
"CHIPOLA",43,
"CHIPOLO",43,
"CHIPONDE","21;55",
"CHIPONDO","18;54",
"CHIPONGOLO",46,
"CHIPONGWE",33,
"CHIPOPA",52,
"CHIPOPERA","19;20",
"CHIPOROPOTO",21,
"CHIPOTA",23,
"CHIPOTE",38,
"CHIPOTO",52,
"CHIPOYA","67;68",
"CHIPPIA",66,
"CHIPRICHANKULIMWE",4,
"CHIPUBU",17,
"CHIPUKA",21,
"CHIPULIA",44,
"CHIPULU",68,
"CHIPULUKUSU",16,
"CHIPULWE",30,
"CHIPUMBA",1,
"CHIPUMBU",21,
"CHIPUMPULA",50,
"CHIPUNDU","31;42",
"CHIPUNGO",6,
"CHIPUNGU","24;27;32;38",
"CHIPUPA",37,
"CHIPUPU",6,
"CHIPUSHI",42,
"CHIPUTA","27;68",
"CHIPUTI",20,
"CHIPUTU",3,
"CHIPUTULA",24,
"CHIPUTWA",6,
"CHIPWAFU",20,
"CHIPWAILA",18,
"CHIPWALU",32,
"CHIPWALY",61,
"CHIPWENUKA",5,
"CHIPWENUPWENU",35,
"CHIPYA",46,
"CHIPYAILA",3,
"CHIPYENI",4,
"CHIREKATE",24,
"CHIREMBE",66,
"CHIRIMUNGANDA",18,
"CHIRITINDI",22,
"CHIROMBE",55,
"CHIRONGA",24,
"CHIROPO",47,
"CHIRUMBENI",43,
"CHIRUMBURWA",12,
"CHIRUNDA","21;37",
"CHIRUNDU",64,
"CHIRWA",2,
"CHISAKA","6;19",
"CHISAKASAKA",54,
"CHISAKILA",33,
"CHISAKO","20;50",
"CHISAKULA","6;38",
"CHISALA","6;19;37",
"CHISALA CHIMUTELA",6,
"CHISALANDAO",21,
"CHISAMA",67,
"CHISAMBA","18;48",
"CHISAMBI",45,
"CHISAMBO",19,
"CHISAMPA",37,
"CHISAMPALA",12,
"CHISANGA","3;27",
"CHISANGAPONDE",46,
"CHISANGUKA",38,
"CHISANKANI",22,
"CHISANKU",19,
"CHISANYA",42,
"CHISAPWA",11,
"CHISASA",53,
"CHISATO",38,
"CHISAWAKONA",16,
"CHISEBUKA",56,
"CHISEBWA",6,
"CHISEKA",22,
"CHISEKE",47,
"CHISEKESI",62,
"CHISEKO",19,
"CHISELA",38,
"CHISELELE","66;67",
"CHISEMBELE",39,
"CHISEMBO",42,
"CHISEMPERE",21,
"CHISENDA MAMBWE",6,
"CHISENGA","6;22;23",
"CHISENGA KAIPATE",6,
"CHISENGU",23,
"CHISENGWA",3,
"CHISENSE",31,
"CHISENSERA",4,
"CHISENYA",68,
"CHISESA",42,
"CHISETA",54,
"CHISHA",42,
"CHISHETA",39,
"CHISHINGA","1;67",
"CHISHITA","5;54",
"CHISHOKA",47,
"CHISI",63,
"CHISIMBA","18;38",
"CHISINDI",63,
"CHISINGA","24;41",
"CHISITA",68,
"CHISOKA","5;45;50",
"CHISOKE",40,
"CHISOLE",38,
"CHISOLWE",4,
"CHISOMO",6,
"CHISOMPOLA",3,
"CHISONDA","38;69",
"CHISONDI",18,
"CHISONGO",45,
"CHISONSO","24;44",
"CHISOSO",37,
"CHISOTOKA",33,
"CHISUKULU",30,
"CHISULE",1,
"CHISULO","20;22;42;45",
"CHISULUBI",3,
"CHISULWA",45,
"CHISUMPA","6;63",
"CHISUNGA",45,
"CHISUNKA",27,
"CHISUNKA LUONGO",27,
"CHISUNKU",53,
"CHISUNTA",3,
"CHISWALA",24,
"CHISWAMININA",54,
"CHISWASWA",19,
"CHISYALA",43,
"CHITACHI",70,
"CHITALA",4,
"CHITALI",21,
"CHITAMAIA",21,
"CHITAMAWE",38,
"CHITAMBALA","43;45",
"CHITAMBI",40,
"CHITAMBO","19;20;23;58",
"CHITANDA",1,
"CHITANDIKA",19,
"CHITANGA",32,
"CHITANGU",67,
"CHITANTA",1,
"CHITANYIKA",53,
"CHITANZA",17,
"CHITAONI",53,
"CHITAPA",38,
"CHITAPO",38,
"CHITAPU",5,
"CHITASHYA",4,
"CHITAU",48,
"CHITEBA",18,
"CHITEKESIA",21,
"CHITEKWE",47,
"CHITELE",24,
"CHITEMBO","22;31;37;43",
"CHITENDE",17,
"CHITENTE",38,
"CHITETE",21,
"CHITEULA",66,
"CHITEVE",49,
"CHITHAMBO",19,
"CHITHUMBA",24,
"CHITI",4,
"CHITIKAFULA",46,
"CHITIMBA","21;24",
"CHITIMBE",18,
"CHITIMPA",6,
"CHITIMUKULU","7;8;46",
"CHITIMVULA",45,
"CHITINDI","22;24",
"CHITIWA",4,
"CHITIWE",33,
"CHITIZAUWE",23,
"CHITO",52,
"CHITOKA","54;66",
"CHITOKO",54,
"CHITOKOLOKI",54,
"CHITOKWANI",38,
"CHITOLE","43;68",
"CHITOLWE",26,
"CHITOMA",54,
"CHITOMBO",68,
"CHITONGOBESA",14,
"CHITOPE",34,
"CHITOSHI",44,
"CHITOTO",21,
"CHITOWA",18,
"CHITSIME",19,
"CHITSULO",20,
"CHITUBULA",4,
"CHITUKULA",18,
"CHITUKULU",18,
"CHITULIKA",38,
"CHITULIKWA",42,
"CHITUMBI",23,
"CHITUMBO",1,
"CHITUMBWA",37,
"CHITUNAMI",1,
"CHITUNAWE",23,
"CHITUNDU","13;22",
"CHITUNGU","21;54",
"CHITUNGULU",21,
"CHITUNGWI","23;24",
"CHITUNO",6,
"CHITUNTA",67,
"CHITUPIRA",6,
"CHITUTA","39;42;67",
"CHITUTUBULA",1,
"CHITUVI",24,
"CHITUZI",24,
"CHITWA",37,
"CHITWE",61,
"CHIULO",18,
"CHIULU",71,
"CHIUNDA",24,
"CHIUNDAPONDE",43,
"CHIUTA",24,
"CHIUTIKA",19,
"CHIUUKULA",24,
"CHIUULI",24,
"CHIUYE",20,
"CHIUYIKASISI",6,
"CHIVIMBA",22,
"CHIVINDA",48,
"CHIVINGO",37,
"CHIVUETA",70,
"CHIVULU",54,
"CHIVUMBA",62,
"CHIVUNA",61,
"CHIVUNDA",54,
"CHIVUNGA",24,
"CHIVUTA","37;42",
"CHIVWETA",69,
"CHIVWETI",67,
"CHIVYIKASISI",6,
"CHIWA",24,
"CHIWAFWA",49,
"CHIWALA","1;2;13;21;22;32;44;53",
"CHIWALABI",6,
"CHIWALE","18;24;38",
"CHIWALI",18,
"CHIWAMA",19,
"CHIWAMBA","24;66",
"CHIWAMBO",24,
"CHIWANANA",21,
"CHIWANANGALA",36,
"CHIWANDA","22;47",
"CHIWANDE",21,
"CHIWANGA","19;20",
"CHIWANJA",24,
"CHIWANO",67,
"CHIWASHIA",37,
"CHIWAULA",22,
"CHIWAWA","19;67",
"CHIWAWAMTAWA",21,
"CHIWAWATALA",22,
"CHIWAYA",19,
"CHIWAYO",19,
"CHIWAYU",19,
"CHIWEFWE",4,
"CHIWEKWE",24,
"CHIWELE",6,
"CHIWELEWELE",47,
"CHIWELWA",44,
"CHIWEMBE","21;40",
"CHIWEMPALA",8,
"CHIWETA",19,
"CHIWETEKA",19,
"CHIWEWANE",21,
"CHIWEZA",19,
"CHIWIMBA",40,
"CHIWISHI",68,
"CHIWOKO","19;53",
"CHIWOLELA",24,
"CHIWOMA",52,
"CHIWOSA",20,
"CHIWOULA",21,
"CHIWOWA",23,
"CHIWULI",37,
"CHIWUYE",6,
"CHIYABA","1;13",
"CHIYAZE","48;68",
"CHIYEKE","48;66;68",
"CHIYENA",48,
"CHIYENGELE",49,
"CHIYENGI",48,
"CHIYESU",54,
"CHIYOBOLA",62,
"CHIYOKOMA",1,
"CHIYOMA","58;62",
"CHIYOMBO",38,
"CHIYOSE",71,
"CHIYUMPE",58,
"CHIYUTA",1,
"CHIZANDILO",24,
"CHIZAU","49;54",
"CHIZAZA",68,
"CHIZELA",51,
"CHIZELU","66;67",
"CHIZIKA",68,
"CHIZIKO",67,
"CHIZIKWE",24,
"CHIZILA",21,
"CHIZIMU",70,
"CHIZINDILO","19;24",
"CHIZIRA",43,
"CHIZIWA",19,
"CHIZIZI",18,
"CHIZONDE",24,
"CHIZONGA",21,
"CHIZONGWE",24,
"CHIZOWE",24,
"CHIZSU",54,
"CHIZUMA",19,
"CHIZUNGU",45,
"CHIZUWE",21,
"CHOBANA",62,
"CHOBE",46,
"CHOBOLO",57,
"CHOBU",5,
"CHOCHA",39,
"CHOINJA",24,
"CHOKAMPINGO",33,
"CHOKO CHOKO",68,
"CHOLA",68,
"CHOLA PHILIPO",6,
"CHOLE",42,
"CHOLOLA",71,
"CHOMATWA",21,
"CHOMBA","45;64",
"CHOMBELA","32;40",
"CHOMBO","54;56;68",
"CHOMBWA","61;63",
"CHOMO",18,
"CHONA",62,
"CHONDELA","20;54",
"CHONDI",24,
"CHONDWE",13,
"CHONGA","6;33",
"CHONGO",62,
"CHONGOLOLO","19;24",
"CHONGWE","19;32",
"CHONJO",24,
"CHONONGELA",20,
"CHONTA",1,
"CHONYA",40,
"CHONZOLA",22,
"CHOPA",20,
"CHOPERA",24,
"CHOTA","22;52",
"CHOTELA",68,
"CHOVWE",53,
"CHOWA","33;38",
"CHOWELA",21,
"CHOZA",70,
"CHOZI",47,
"CHUAULA",19,
"CHUAVLA",21,
"CHUBA",13,
"CHUBI",57,
"CHUKA","18;52",
"CHULA",61,
"CHULU","44;47;52",
"CHULUKA",63,
"CHUMA",5,
"CHUMANEMBO",38,
"CHUMANGANGA",18,
"CHUMBA",24,
"CHUMBAIKA",1,
"CHUMBI",24,
"CHUMBU",38,
"CHUMBULA",66,
"CHUMIKILE",21,
"CHUMPE",57,
"CHUNDU","22;42",
"CHUNE",22,
"CHUNGA","18;62",
"CHUNGU",45,
"CHUNGWE",47,
"CHUNI","1;19;21",
"CHUNIMUTOBOLA",1,
"CHUPA",24,
"CHURIASHI",37,
"CHURU",53,
"CHUSI",21,
"CHUTAWALENGA",18,
"CHUULU",71,
"CHUULUNGA",18,
"CHUWAKA",37,
"CHUWI",38,
"CHUWYE MONDO",6,
"CHWANGU NDHLOVU",21,
"CIBISA",20,
"CIGWE",17,
"CITSEKA",19,
"CONUNDULA",53,
"CTHA",20,
"CUMWICUMWI",59,
"DALIYO",24,
"DAMBO","20;24",
"DAMBWA",60,
"DAMIANO",24,
"DANDAULE",66,
"DANIEL","19;22;38;42",
"DANIEL KUFUNA",66,
"DANIEL MUGALA",38,
"DANIEL MUTAMBO",38,
"DANYELE MULILA",6,
"DAUDI BUYOKA",46,
"DAUSENI",42,
"DAUTI",1,
"DAUTI CHIKUBULA",6,
"DAUTI KAFINDA",6,
"DAUTI MUMBA",6,
"DAUTI SINDANO",45,
"DAVID",42,
"DAVID CHIPOWE",42,
"DAVID CHITO",42,
"DAVID KASUBA",6,
"DAVID KAUNDA",15,
"DAVID KAYILA",38,
"DAVID MUFAKALA",6,
"DAVID MUMBA",6,
"DAVID MWASE",24,
"DAVID RAMUSHU",2,
"DAVID SINKALA",38,
"DAVIDE",23,
"DELAYA TINDI",6,
"DEMBERA",55,
"DERESI",19,
"DIBWE",64,
"DICK MTUNDA",24,
"DICK MUMBA",24,
"DIMA",19,
"DIMBWE",58,
"DIOMU",4,
"DIPALATA MISSION",54,
"DISHIPA",54,
"DIXON KAPINDA",6,
"DIXON MALWITA",6,
"DIXON MUTONO",39,
"DIYAMBO",1,
"DOMBE",21,
"DOMFWE",43,
"DOMINIKO",42,
"DONALA",47,
"DONALD MUTAMBO",38,
"DONALD NGASHI",6,
"DONALD SILUNGWE",38,
"DONATI",38,
"DONGWE",9,
"DOTOBA",18,
"DR MUBITANA",60,
"DULU",68,
"DUMBE",21,
"DUNDA",21,
"DURILI",21,
"DUTA",40,
"DUTCHMAN MACHENDE",6,
"DUWULU",21,
"DZOOLE",19,
"EDWARD",6,
"EDWARD MANTA",6,
"EDWARD SIKOMBE",47,
"EFLONI YANDWA",6,
"EFRAIM",42,
"EFRAIM SILUNGWE",38,
"EGESI CHIMANISHA",6,
"ELIAS SANGA",6,
"ELIMYA MALIKEBO",6,
"ELISA MWAPE",6,
"ELISHA",67,
"ELIYA",23,
"ELIYA KASONDE",6,
"ELIYA MWANJE",6,
"ELOMBWE",67,
"ENALA KASAKILA",6,
"ENEYA KAPIKA",6,
"ENGINE CHIWALA",6,
"ENOCH CHIKWABA",1,
"ENOCH KUNDA",6,
"ENOCH MAMBWE",6,
"ENOKI",19,
"ENOS CHISENGA",6,
"ENOSI",20,
"ENYANTIWENI",21,
"EPHRAIM","21;38",
"EPRULE",42,
"ERNESTO",24,
"ESAU",6,
"ESAU CHIPENA",6,
"ESAU KABAMBANSHIPWA",6,
"ESAU MOFIA",6,
"ESAU MUSALA",6,
"ESAU MWAPE",6,
"ESAYA",45,
"ESELIYA CHIKUMBI",43,
"ESTHER-NTALASHA",40,
"EZEKIYA NKAMFWA",6,
"FARON PETEKA",38,
"FEIRA",34,
"FELO",70,
"FENI",19,
"FEROS KATEMBO",24,
"FHUMBA",57,
"FIANPANGA",39,
"FIBALE",9,
"FIBUSA",15,
"FIKUMBWA",6,
"FILAMBA",37,
"FILIMONI","22;24",
"FILIMONI MATAMBO",6,
"FILIMONI MWAPE",6,
"FILIPI",67,
"FILIPO",20,
"FILISHI",39,
"FINDICHE",38,
"FINDOLO",24,
"FINISH MUMBWAILA",6,
"FINISHA MATESA",6,
"FISE",6,
"FISENGE",11,
"FISONGA",3,
"FITALIANO",40,
"FIWALE",13,
"FIWILA",4,
"FOLOMA",49,
"FORT ROSEBERY",27,
"FOWO",21,
"FOXDALE ESTATES",35,
"FRANCIS MUKUKA",15,
"FRANKI CHISENGA",6,
"FRED",45,
"FREEDOM",60,
"FUBE",36,
"FUBERA",3,
"FUBISHE",5,
"FUBWE",3,
"FUFUTU",67,
"FULABUNGA",1,
"FULAO",6,
"FULATA",19,
"FULATI",6,
"FULAZA",18,
"FULBEK MULENGA",6,
"FULUMANA",67,
"FULUNGWE",68,
"FUMBENI",21,
"FUMBO",56,
"FUNDA",42,
"FUNDAMUKANYA",52,
"FUNDI","3;13;22;38;43;45",
"FUNDI SICHINGA",38,
"FUNDIPOMA",40,
"FUNGALA",45,
"FUNGO",46,
"FUNGULANI",20,
"FUTUTU",68,
"FUVISHA",5,
"FUVYA",47,
"FWAMA",46,
"FWAMBO",42,
"FWANGANYA",66,
"FWATE MABUKU",6,
"FYESHA",4,
"GABRIEL",24,
"GAMA",19,
"GAMELA",65,
"GANDUZA",64,
"GARAMPANDE",59,
"GEORGE","45;47;71",
"GEORGE MWEMBE",42,
"GEORGE SIAME",38,
"GEORGE SIYAME",38,
"GERETA",17,
"GEZA",19,
"GIDEON",32,
"GIDIONI MAMBWE",6,
"GILEYA",20,
"GILINGI",32,
"GIPSON CHISAPA",6,
"GIYA",17,
"GODFREY KUNDA",6,
"GOLIAT",24,
"GOLIATI MUSEYA",6,
"GOLIATI TABANYA",6,
"GOMANI","19;20",
"GONGFWE",62,
"GONTO",21,
"GOODWELL MWAPE",6,
"GORDON",2,
"GORO",19,
"GOVIYANA",24,
"GRININI NDASHI",6,
"GUDUZA",21,
"GUMA",17,
"GUMBA",21,
"GUMBI",20,
"GUNDU",21,
"GUNDUNGU",70,
"GUNDUZA",64,
"GUNZWE",59,
"GUZE",20,
"GWABA",21,
"GWANDA GWANDA",55,
"GWEMBE",56,
"GWININGI",18,
"HABUNYA",56,
"HACHILE",33,
"HAKALE",61,
"HAMAKALU",56,
"HANGATA",61,
"HANKY KALANGA",15,
"HANYENDO",62,
"HARRY MWAANGA",35,
"HELEN KAUNDA",7,
"HELENGEZE",48,
"HENEYA",67,
"HENRY","42;46",
"HEREFORD",33,
"HIGHRIDGE",2,
"HILLWOOD",52,
"HOBSON JIMU",6,
"HOFMEYER",23,
"HONGOLO",48,
"HOYA",21,
"HOYOKA",49,
"HUMPEMPE",26,
"IBENGA MISSION",14,
"IBHANI",19,
"IBOLELO","6;71",
"IBONDO",3,
"IBONGU",54,
"IBOOLOKWA",66,
"IBUKWE",69,
"IBWE MUNYAMA",64,
"ICHOMA",20,
"IFUMBA",52,
"IJAMBA SCHOOL",64,
"IKABAKO",69,
"IKAKENA",70,
"IKANDULU",68,
"IKANJIWA",68,
"IKASAYA",66,
"IKATU",52,
"IKELENGE",52,
"IKULUNGA",68,
"IKUNGU",52,
"IKWE",71,
"IKWINGA",71,
"ILAKE",6,
"ILAKE MUKOMENA",6,
"ILAKE NGOSA",6,
"ILAWA",17,
"ILILONGA",70,
"ILIOMBE",69,
"ILOMBOLA",63,
"ILONDOLA",37,
"ILOPU",68,
"ILUANDO",71,
"ILUENDO",71,
"ILUKALA",66,
"ILUKENA","66;67",
"ILUNGA",53,
"ILUNGANGAMA",72,
"ILUNGUNGA",69,
"ILUTAKE",70,
"ILUYA","66;70",
"ILWENDO",71,
"IMAIAYO",69,
"IMAKANDA",70,
"IMAKANDO",70,
"IMAKUMBILI",69,
"IMAKUMBIRI",69,
"IMALENDA","66;71",
"IMALOMO",68,
"IMAMBO",66,
"IMAMUNA",69,
"IMANSA",3,
"IMASIKU","67;70",
"IMASIKWANA",69,
"IMATINA",70,
"IMBILA",42,
"IMBOWA",70,
"IMBUBU",66,
"IMBUTWAMA",66,
"IMBUWA",68,
"IMBWAE","66;71",
"IMEDI",22,
"IMENDA","68;70;71;72",
"IMILEMO",71,
"IMILONGA",66,
"IMONGA",70,
"IMONGA NIFALE",70,
"IMPASUKA",4,
"IMUKUSI",70,
"IMUSHO","70;71",
"IMUSHU",60,
"IMUSUNGA",68,
"IMUTONGA","66;69",
"IMUTONGO",70,
"IMUWANA",66,
"IMWAKA",71,
"IMWANGALA",69,
"IMWIKO",69,
"IMWIKO'S KRAAL",71,
"INAMBAO",69,
"INDALA","70;71",
"INDILONGA",69,
"INDOPU",70,
"INDUSI",66,
"INGINA",67,
"INGONGOLO",70,
"INGUMBWA","69;70",
"INGUU",66,
"INGUWE",69,
"INGWE","5;50",
"INONGE",59,
"INUBU",71,
"INYAMAWINA","69;70",
"IPENGE",52,
"IPILA",6,
"IPONGO",1,
"IPUSUKILO","10;41",
"IPUTU",54,
"ISAAC","38;45",
"ISAAC MKUNDA",38,
"ISAAC MWANDA",22,
"ISAAC NJOVU",22,
"ISAKE",6,
"ISAKE CHANGWE",6,
"ISAKE CHIMBWI",6,
"ISAKE LUNDU",6,
"ISAKE MANGOLE",6,
"ISAKE MUYAYA",6,
"ISAMBE",52,
"ISHE WAMBUTO",69,
"ISHINDI",54,
"ISHITU",40,
"ISHMAELE",24,
"ISIBAKI",20,
"ISIBEBO",72,
"ISIKANDA",69,
"ISILIMWE",72,
"ISOKO",45,
"ITANDA",49,
"ITAWA",16,
"ITEZHI TEZHI",57,
"ITIMBWE",42,
"ITIMPI",10,
"ITUFA",70,
"ITUNGI",71,
"ITWI",66,
"IYAULUKA",70,
"JACKSON KACHIMBO",6,
"JACKSON KALIOTI",6,
"JACKSON MUMBA",6,
"JACKSON MWANDO",6,
"JACOB",47,
"JACOB CHALWE",6,
"JACOB CHIYOMBO",38,
"JACOB FILINGISI",6,
"JACOB MATINDI",38,
"JACOB MUTAMBA",38,
"JACOB MUTEMA",6,
"JACOB SOPU",45,
"JACOBE",21,
"JAFFWA",32,
"JAFUNYA",53,
"JAKALASI",42,
"JAKOP MVULA",43,
"JAKOPO MUMBA",1,
"JALABANI",55,
"JALIJALI",21,
"JAM",24,
"JAMES","38;45;46",
"JAMES BENWA",52,
"JAMES CEMENTI",6,
"JAMES CHABALA",6,
"JAMES CHISENGA",6,
"JAMES MACHISA",6,
"JAMES MALATA",6,
"JAMES MOFIA",6,
"JAMES MUHANGO",38,
"JAMES MUKOBEKA",6,
"JAMES MUNTALI",38,
"JAMES MUPELA",6,
"JAMES MWANGA",32,
"JAMES PHIRI","7;11",
"JAMES SHIMULENGA",6,
"JAMESEON",38,
"JAMESON MUSONDA",6,
"JAMSE",6,
"JAMU KASAMIKA",6,
"JAMU MKUMBA",19,
"JAMU MUMBA",6,
"JAOLI",19,
"JASI",20,
"JATUKWA",55,
"JEKAPO",22,
"JEKE",21,
"JEKE MABENGA",12,
"JEKI","6;34",
"JELIKO CHITAMBA",6,
"JEMBE",19,
"JENGA JENGA",59,
"JERE",24,
"JEREMANI",22,
"JEREMEA",6,
"JEREMIA",42,
"JEREMIA MALIKEBO",6,
"JEREMIAH",21,
"JERIKO KALONGA",6,
"JESSE SAMBWA",6,
"JETLO MOFIA",6,
"JIFUMBO",53,
"JIKUNDULA",50,
"JIKUNKULA",50,
"JILOMBO",53,
"JILONGA",52,
"JILOWA","50;67",
"JIM BANGO",17,
"JIM CHINAKILA",45,
"JIM CHINDO",42,
"JIM KAMBOLE",45,
"JIM MALESU",42,
"JIM MPONDE",6,
"JIM MULAMBYA",38,
"JIM NGANDU",59,
"JIM SICHANGE",59,
"JIM YOMBWE",45,
"JIMBAMBA",52,
"JIMU",19,
"JIMWAYA",67,
"JINAINA",5,
"JINGA",48,
"JINGA JINGA",58,
"JINGO",19,
"JITO",5,
"JITULA",53,
"JIVANGA",52,
"JIVUNDA",52,
"JIVUNDU",51,
"JOASE SUMA",19,
"JOB MUWOWO",38,
"JOBOLOLA",53,
"JOHN","38;45",
"JOHN BONZO",22,
"JOHN CHITE",46,
"JOHN CHITUNDU",45,
"JOHN CHIVUTA",42,
"JOHN KAPEMBWA",45,
"JOHN KATAVILA",38,
"JOHN NGAMBE",38,
"JOHN SIMUKOKO",47,
"JOHN SINKALA",47,
"JOHN ZOMBE",45,
"JOLOSI",71,
"JOMBE",38,
"JONAM",6,
"JONAS","4;19;21",
"JONAS CHIDYOWE",32,
"JONAS PHIRI",21,
"JONASE CHIKOMA",22,
"JONES",19,
"JONES KAILA",38,
"JONI BUSHIMBWA",6,
"JONI BWALE",6,
"JONI CHAPA",6,
"JONI CHITA",6,
"JONI KAFWENYA",6,
"JONI KATANDIKA",22,
"JONI LUBONA",3,
"JONI MABOMBO",6,
"JONI MULANDU",6,
"JONI TELESHA",6,
"JONYA",61,
"JOSE MUSAKA",6,
"JOSE MWAPE",6,
"JOSENI",21,
"JOSEPH","24;32;38",
"JOSEPH CHILUYA",6,
"JOSEPH CHITUPILA",6,
"JOSEPH KALIKENKA",6,
"JOSEPH KALONGA",6,
"JOSEPH KATULUSA",6,
"JOSEPH MALUKUTU",6,
"JOSEPH MWILA",7,
"JOSEPH SIMUMBA",47,
"JOSEPHI",6,
"JOSIAS",20,
"JOWELL",20,
"JOWELO",20,
"JOWESHI",4,
"JOZIELE MKONKA",24,
"JULAI MWAPE",6,
"JULIAS MALEKANI",37,
"JULIESI",24,
"JUMA","19;53",
"JUMA KAWISHA",43,
"JUMA MWANZA",22,
"JUMBA",24,
"JUMBE",22,
"JUMBO",56,
"JUMEN MALA",6,
"JUMENI",6,
"JUMPO",19,
"JUNGU","18;20",
"JUNGUJANI",19,
"JUNI SICHIPETA",42,
"JUSTIN",19,
"JUSTIN KABWE","2;11;35",
"JUSTINI",19,
"JUTILA",53,
"JUWEKA",21,
"JUZIELE",24,
"K'KALINGA",19,
"KAAIAWIKA",6,
"KAAMBWE",47,
"KABA HILL",69,
"KABABA",54,
"KABAILA",67,
"KABAKABA","40;44",
"KABALAKATA",3,
"KABALE",71,
"KABALI",71,
"KABALUBE",72,
"KABAMBI","49;54",
"KABANDA",67,
"KABANGA","24;27;53;58;70",
"KABANGE",12,
"KABANGO",72,
"KABANGO CHIBUYAME",6,
"KABANGU",68,
