Name,Relative Likelihood
CHONGWE,4
CHUULU,4
DIMUNA,4
GUNDU,4
HABANYAMA,4
HAKAMINZA,4
HALWIINDI,4
HAMALEKA,4
HAMUNYANGA,4
HANDIYA,4
ILUNGA,4
KALABA,4
KALALA,4
KALENGO,4
KALEPA,4
KALEYA,4
KALIMA,4
KALINDA,4
KALONDE,4
KALONGA,4
KAMBOLE,4
KAMWAYA,4
KANENE,4
KANYANGA,4
KAONGA,4
KAPATA,4
KAPAYA,4
KASEMPA,4
KASIKILI,4
KATEULE,4
KATONGA,4
KATONGOMALA,4
KAZOKA,4
KIWANI,4
LENGWE,4
LIFASI,4
LIKAMBA,4
LUKHELO,4
MACHINGAIFA,4
MAIBWE,4
MAIMBA,4
MAINDA,4
MAKALA,4
MAKINA,4
MAKUNGU,4
MALONGA,4
MAPANI,4
MASEKO,4
MASHONGA,4
MATAFWALI,4
MATIMBA,4
MATOPE,4
MAUNDA,4
MAWELE,4
MAWERE,4
MAYUMBELO,4
MAZIMBA,4
MBIRI,4
MBUZI,4
MPHANDE,4
MPONDA,4
MUKAMBA,4
MUKOSHA,4
MUKUPA,4
MULIMA,4
MULONGOTI,4
MULUWE,4
MUNYENYEMBE,4
MUSATWE,4
MUSHANGA,4
MUSONGO,4
MUSUKUMA,4
MUTEMBO,4
MUTEMWA,4
MUTENA,4
MWALA,4
MWANANIMBWE,4
MWENDABAI,4
NAKAMBA,4
NAMACHILA,4
NAMAKANDO,4
NAMOOYA,4
NAMUKONDA,4
NAMWILA,4
NGAMBI,4
NJANJI,4
NKUWA,4
NSOFWA,4
NYAMA,4
NZIMA,4
OLIVER,4
SAKWIYA,4
SHAMENDA,4
SHONGA,4
SIBALWA,4
SICHALWE,4
SICHIBALO,4
SICHIKOLO,4
SIKOONGO,4
SILAVWE,4
SIMANGOLWA,4
SIMPANDE,4
SIMUBALI,4
SIMULONDE,4
SIMUMBA,4
SIMUTOWE,4
SIMWEEMBA,4
SINYINZA,4
BBANDELA,3
BEENE,3
BOOMBE,3
BUKOWA,3
BULAYA,3
BUSIKU,3
BWALE,3
BWATU,3
CHAALA,3
CHABU,3
CHAINDA,3
CHAMPO,3
CHANDALALA,3
CHANGA,3
CHANKA,3
CHASELWA,3
CHIBALA,3
CHIBANDA,3
CHIBEBE,3
CHIBILIKA,3
CHIKASHI,3
CHIKO,3
CHIKOBOLO,3
CHIKOMO,3
CHIKUKU,3
CHIKUWA,3
CHIKWIKWI,3
CHILA,3
CHILAMBWE,3
CHILEMBO,3
CHILUMBA,3
CHILUNDIKA,3
CHILUNGU,3
CHIMAMBA,3
CHIMBWE,3
CHIMENA,3
CHINOYA,3
CHIPAPA,3
CHIPULU,3
CHISAMBA,3
CHISAPO,3
CHISEBUKA,3
CHISEKO,3
CHISOLA,3
CHISUNKA,3
CHISUWO,3
CHITIKU,3
CHIWELE,3
CHIWENDA,3
CHOTA,3
GARUFU,3
GAWAZA,3
GOMA,3
HACHILALA,3
HAKOOLA,3
HAMACHILA,3
HAMAMBA,3
HAMBOTE,3
HAMBULO,3
HAMOOYA,3
HAMWEENE,3
HANDEMA,3
HANENE,3
HANGOMBE,3
HANSALAMA,3
HATIMBULA,3
HATOBELA,3
HAZEMBA,3
HIMPYALI,3
HINDAMU,3
IMASIKU,3
INAMBAO,3
JUMBE,3
KAANGA,3
KABINGA,3
KABONDO,3
KABULO,3
KACHASU,3
KACHINGWE,3
KAFWALA,3
KALENGAMUKOWA,3
KALIWA,3
KALOMO,3
KALUWE,3
KAMBOBE,3
KAMBOYI,3
KAMPAMPA,3
KAMUTI,3
KANDUMBA,3
KANJANGA,3
KAPALU,3
KAPAMBA,3
KAPE,3
KAPEMBWA,3
KAPENDA,3
KAPEPE,3
KAPESA,3
KAPITAO,3
KAPOLE,3
KAPOMBA,3
KAPUTULA,3
KASAMBA,3
KASANGA,3
KASOKA,3
KATANGA,3
KATEMA,3
KATOWA,3
KAWALA,3
KAWANA,3
KAWAYAWAYA,3
KAWAZA,3
KAYUMBA,3
KAYUNI,3
KEMBO,3
KIKUMBA,3
KIPAILA,3
KOLALA,3
KUMEKA,3
KWABE,3
KWENDA,3
LAMBWE,3
LESA,3
LINYANDI,3
LISELO,3
LISWANISO,3
LITIA,3
LUBILO,3
LUMAI,3
LUMAMBA,3
LUPINDULA,3
LUPUTA,3
LUTUBA,3
LWANGA,3
LYAMBAI,3
MABUKU,3
MACHONA,3
MAFONKO,3
MAKAKA,3
MAKAYI,3
MAKONKO,3
MALICHI,3
MALIKEBO,3
