Name,Relative Likelihood
TISAINE,4
TISANKHE,4
TISAUKE,4
TISIYANE,4
TISIYENJI,4
TIWINE,4
TRIFONIA,4
TRINA,4
VUTIWE,4
ZANGIWE,4
ZELESI,4
ZENIA,4
ABIYA,3
ADESS,3
AGGIE,3
AGNES,3
ALESI,3
ALPHONSINA,3
ASEDI,3
AVELESI,3
BERNADETE,3
CHAMA,3
CHIMUKA,3
CHINYAMA,3
CHISOMO,3
CHOLA,3
CHONGO,3
CHOOLWE,3
DAILES,3
DAILESI,3
DEBORA,3
DEBORAH,3
DEOPHISTER,3
DIANESS,3
DINAH,3
DOCAS,3
DYNESS,3
ELETINA,3
ELINAH,3
ELINATI,3
EMELITA,3
EMMAL,3
ENNY,3
ERICA,3
ESNALA,3
ESTELLA,3
EUPHEMIA,3
EUPHRASIA,3
EVALYN,3
EVANS,3
GODFRIDAH,3
GWEN,3
HAPPINESS,3
INELLY,3
JACQUELINE,3
JACQUILINE,3
JASPER,3
JENIFER,3
JESSIE,3
JOY,3
KALUBA,3
KASONDE,3
KUNDA,3
LADY,3
LAILA,3
LESLIE,3
LESTINA,3
LEXINA,3
LIZZIE,3
LOREEN,3
LOSTER,3
LOVE,3
LUSHOMO,3
MAGGY,3
MAILESS,3
MALALA,3
MALINA,3
MANDALENA,3
MARGRATE,3
MARIANA,3
MARINA,3
MARRIAN,3
MARVIS,3
MATRIDA,3
MAZUBA,3
MELITA,3
MEVIS,3
MOSES,3
MUNDIA,3
MWANSA,3
MWAPE,3
MWATISILA,3
MWELWA,3
MWEWA,3
NALISHEBO,3
NAMONDA,3
NAOMY,3
NGOSA,3
NOLIA,3
NURSE,3
NYAMBE,3
NYUMA,3
OLIVER,3
PENELOPE,3
PHALESS,3
PHILIS,3
PHILLIS,3
PRUDENCE,3
PURITY,3
RABBECA,3
RACHEL,3
ROMANCE,3
RONTIA,3
ROSARIA,3
SAKALA,3
SALLY,3
SELENIA,3
SEPISO,3
SHELLA,3
SOMBO,3
STELLIA,3
STEVEN,3
TAMARA,3
TEMBO,3
TENDAI,3
TERESA,3
THELMA,3
TILAPE,3
TILILE,3
TILINGANE,3
TIYANKENJI,3
TIYANKHENJI,3
VANALESS,3
VANESSA,3
VILOET,3
ZAMIWE,3
ZANGOSE,3
ADINAS,2
AIDAH,2
AILEDY,2
AILESS,2
AINESS,2
AKANANGISA,2
ALBETINA,2
ALFONSINA,2
ANASTASIA,2
ANASTAZIA,2
ANEDI,2
ANEDY,2
ANELI,2
ANELLY,2
ANIA,2
ANITAH,2
ANJELA,2
ANNASTAZIA,2
ANNETY,2
ANNY,2
ASEDY,2
ATELESI,2
AUSTIN,2
AUXILIA,2
AVELINA,2
AVERSY,2
AZINESS,2
BABARA,2
